StudID1,NL,Gen,Age,Major,Rater1,Rater2,E-Rater,StudID2,Rater1,Rater2,E-Rater
A1036,Danish,F,23,Marketing,4,4,3.706523767,B1036,4,5,3.798128578
A1037,Chinese,F,26,Gerontology,3,4,3.440290331,B1037,3,4,3.003991216
A1038,Plah,M,34,Teaching and learning,4,4,3.699381794,B1038,5,5,4.589992067
A1039,Spanish,F,26,Economics,4,4,4.017164915,B1039,4,4,4.374888933
A1040,Korean,M,27,Finance,2,4,2.857329824,B1040,2,3,3.376533616
A1041,Japanese,M,22,Marketing,4,2,2.644526757,B1041,3,3,2.49394481
A1042,Chinese,F,23,Taxation,3,3,2.649835036,B1042,3,4,3.063508115
A1043,Chinese,F,29,Actuarial science,3,4,3.409087064,B1043,3,3,3.264213534
A1044,Chinese,M,32,Accounting,3,3,3.621849919,B1044,3,3,3.537486456
A1045,Chinese,F,30,Accounting,4,4,4.07133987,B1045,4,4,3.458272878
A1046,Hindi,M,24,Computer Science,4,5,4.094085486,B1046,4,5,3.330299108
A1047,Hindi,F,25,Computer Science,3,4,2.90618454,B1047,5,4,4.111186936
A1048,Vietnamese,F,19,Biology,4,3,3.571652126,B1048,3,3,3.073125116
A1049,Vietnamese,M,21,Microbiology,3,2,1.427723341,B1049,3,3,3.809942547
A1050,Urdu,F,24,Accounting,4,4,3.628996291,B1050,4,3,3.336989356
A1178,Tamil,M,22,Computer Science,5,5,4.434667322,B1178,5,3,3.954794854
A1179,Russian,F,25,Applied Linguistics,5,5,3.791409481,B1179,5,5,4.318367368
A1180,Chinese,M,27,Communication,4,4,3.061015443,B1180,4,4,3.574517022
A1185,Chinese,F,24,Applied Linguistics,4,4,3.662154793,B1185,4,4,3.768028857
A1200,Chinese,F,22,Biology,3,4,4.030780253,B1200,4,3,3.633803779
A2051,Malay,M,19,Industrial Engineering,5,5,4.560094276,B2051,5,5,4.290530295
A2052,Russian,M,25,Public Administration,4,5,4.120743584,B2052,5,5,4.520706976
A2053,Chinese,F,27,Genetics,2,2,3.18896002,B2053,3,2,3.424083803
A2054,Chinese,F,21,Food Science,3,3,3.655631646,B2054,3,5,4.417654453
A2055,Chinese,M,31,Computer Science,3,2,2.798484701,B2055,4,4,3.949981439
A2056,Korean,M,27,Journalism and Communication,3,3,3.566739969,B2056,4,4,3.507763887
A2057,Chinese,M,19,Mathematics,3,3,2.924695836,B2057,4,3,3.384414349
A2058,Romanian,F,26,Physics,3,3,4.231962035,B2058,2,4,4.113083654
A2059,Malay,M,21,Management Information Systems,5,5,4.724171434,B2059,5,5,4.843724182
A2060,Chinese,F,24,Genetics,4,5,3.467114341,B2060,4,4,3.999505951
A2061,Chinese,M,22,Interdepartmental Plant Physiology,4,3,3.870220685,B2061,4,3,3.994617082
A2062,Chinese,F,30,Biophysics biochemistry and molecular biology,4,4,3.989780421,B2062,4,3,3.825651977
A2063,Malay,F,27,Curriculum & Instructional Technology,3,3,3.216221182,B2063,4,4,3.692791505
A2064,Chinese,F,22,Plant Physiology,3,4,3.869385032,B2064,4,3,3.467354382
A2065,Chinese,F,23,Genetics,3,2,3.556116681,B2065,2,3,3.160853596
A2066,Chinese,F,26,Interdepartmental Genetics,3,5,4.273892469,B2066,4,5,4.005600304
A2067,Chinese,M,27,Journalism and Communication,3,3,2.715664331,B2067,2,3,1.711890908
A2069,Hindi Malayalam,M,26,Information Systems,4,4,3.274893911,B2069,3,4,3.396925237
A2070,Chinese,F,27,Economics,4,4,4.184419607,B2070,5,4,4.162679923
A2071,Chinese,M,29,Microbiology,2,2,2.348395537,B2071,4,3,2.488587603
A2072,Chinese,M,25,English,5,4,3.43613391,B2072,3,4,3.676489423
A2073,Chinese,F,23,Curriculum & Instruction,3,3,3.775431109,B2073,3,3,3.884834943
A2074,Hindi,M,29,Bioinformatics,5,5,5.126803299,B2074,5,5,4.553788392
A2075,Spanish,F,39,Applied Linguistics,5,3,3.70470237,B2075,4,4,3.77960405
A2076,Spanish,F,31,Economics,4,4,3.75024715,B2076,4,5,3.658755435
A2077,Turkish,F,27,Education,3,4,4.032468493,B2077,3,3,3.347496889
A2078,Turkish,F,27,Curriculum & Instruction,4,4,4.15564334,B2078,4,4,3.458748549
A2079,Chinese,M,23,Civil Engineering,2,2,1.787091174,B2079,3,2,2.336549655
A2081,Chinese,F,20,Civil Engineering,3,2,2.316928864,B2081,3,2,2.316713545
A2082,Kazakh,M,21,Computer Science,3,3,2.752502604,B2082,3,3,2.846819518
A2083,Malay,M,21,Mechanical Engineering,3,3,4.076164963,B2083,4,4,3.456280704
A2084,Chinese,M,20,Mechanical Engineering,4,5,4.197785709,B2084,4,4,4.309064145
A2085,Korean,M,26,Electrical Engineering,3,2,3.328854635,B2085,2,3,3.030416802
A2086,Ukrainian Russian,M,25,TESL/Applied Linguistics,4,5,4.604165173,B2086,5,5,4.548918246
A2087,Vietnamese,M,19,Computer Science,3,3,4.79308725,B2087,4,4,3.935672468
A2088,Chinese,M,21,Industrial Engineering,4,3,3.552067359,B2088,3,3,4.255768675
A2089,Spanish,M,27,Management Information Systems,4,4,3.602749997,B2089,4,3,3.309449118
A2090,Korean,M,30,Electrical Engineering,3,3,2.830606781,B2090,3,3,2.432072778
A2091,Chinese,F,20,Architecture,3,4,2.997733057,B2091,4,3,3.865466632
A2092,Chinese,F,23,HHP (health & human performance),4,2,1.881094854,B2092,3,3,1.560728137
A2093,Chinese,F,23,Chemistry,3,3,3.253427664,B2093,3,4,2.811352031
A2094,Spanish,M,30,Applied Linguistics & Technology,4,4,4.888714585,B2094,5,4,4.531722764
A2095,Chinese,M,22,Civil Engineering,3,2,2.998061651,B2095,4,3,3.543420911
A2096,Chinese,F,20,Civil Engineering,3,3,3.395235378,B2096,2,3,3.306997774
A2097,Chinese,F,21,Civil Engineering,3,3,2.774082754,B2097,2,2,1.743791172
A2098,Chinese,F,21,Civil Engineering,3,3,3.470311448,B2098,3,3,3.167988852
A2099,Chinese,M,21,Civil Engineering,3,3,3.674483969,B2099,2,4,4.041314161
A2100,Chinese,M,20,Civil Engineering,3,3,3.03952907,B2100,3,3,2.496853255
A2110,Chinese,M,20,Civil Engineering,3,3,2.920546853,B2110,1,2,1.93374866
A2151,Chinese,M,21,Civil Engineering,2,3,2.789620779,B2151,2,3,2.696269493
A2152,Chinese,M,20,Civil Engineering,3,2,2.182373806,B2152,3,3,2.982368134
A2153,Chinese,M,20,Civil Engineering,3,3,3.005457299,B2153,2,2,2.426057093
A3101,Vietnamese,M,24,Logistics Technology,3,3,2.462486612,B3101,4,3,2.669244594
A3102,Hindi,F,26,Pre-Business,5,4,3.373266639,B3102,4,4,3.081762728
A3103,Russian,F,21,Finance,4,3,3.073015291,B3103,3,3,2.384364767
A3104,Russian,M,24,Computer Science,4,3,3.309202879,B3104,3,3,2.996228095
A3105,Chinese,F,18,Accounting,3,3,3.120612888,B3105,3,3,2.930983487
A4154,Hindi Bangali,F,27,Business Administration,4,3,3.067522339,B4154,5,5,3.609051129
A4155,Vietnamese,F,19,Business,3,3,3.255973482,B4155,5,4,3.296244833
A4158,Arabic,F,20,Public Health,2,2,2.251606175,B4158,3,3,1.715872639
A4159,Hindi,F,23,Book Publishing,5,5,5.4999,B4159,5,5,5.231438691
A4160,Japanese,F,24,Marketing/Advertising Management,4,3,3.686396851,B4160,4,3,4.056885062
A4161,Khmer,F,18,Business Administration,5,3,3.835096296,B4161,5,4,3.943331763
A4162,Chinese,F,21,International Liberal Studies,4,4,4.44622076,B4162,3,4,4.001475635
A4163,Japanese,F,32,Education,4,3,3.648824882,B4163,4,3,3.149269123
A4164,Urdu,F,28,Education: Curriculum & Instruction,5,5,4.872703934,B4164,5,5,4.518879232
A4165,Kannada,M,24,Electrical & Computer Engineering,3,2,2.182905214,B4165,2,2,0.8050808
A4166,Telugu,M,24,Electrical Engineering,3,4,2.156055541,B4166,4,4,2.857940311
A4167,Hindi,F,27,Computer Science,5,4,3.851753589,B4167,5,5,3.576129808
A4169,Russian,F,28,MA TESOL,4,3,2.761319136,B4169,4,3,3.066849911
A4170,Japanese,F,26,Psychology,4,3,2.688274565,B4170,4,3,3.431429114
A4341,Polish,F,35,Speech and Hearing Sciences,4,4,4.047433842,B4341,4,4,3.690177043
A4342,Hindi,M,25,Electrical Engineering,5,5,3.46925454,B4342,4,5,3.94994406
A4343,Vietnamese,F,22,Business/Psychology,5,5,4.642239285,B4343,4,5,3.944829455
A4344,Arabic,M,21,Computer Science,3,3,3.034818995,B4344,2,2,1.303569328
A4345,Spanish,F,25,International Studies/ Political Science,5,5,5.4999,B4345,5,5,5.372683741
A4346,Korean,F,32,Psychology,3,2,2.591894627,B4346,3,2,2.100445677
A4347,Korean,F,22,Foreign Language & German,4,3,4.496515837,B4347,3,4,4.069121639
A5106,Indonesian,F,18,Industrial Engineering,2,2,1.668199269,B5106,4,3,2.866354884
A5202,Korean,F,20,Engineering,2,2,2.257449347,B5202,1,1,0.5001
A5203,Korean,M,23,Undecided,3,4,3.115123883,B5203,3,3,1.966673132
A5204,French,F,24,History,4,4,3.874216873,B5204,4,5,4.16737102
A5205,Yoruba,F,31,Curriculum & Instruction,5,5,4.442460149,B5205,5,5,3.508508999
A5206,Swiss German,F,20,Movement and Sports Science,2,2,1.496092849,B5206,3,3,2.008348072
A5207,Korean,F,38,English education,4,5,3.856536698,B5207,3,4,4.07991427
A5208,Chinese,F,19,Undecided,1,1,0.5001,B5208,1,1,0.5001
A5209,Korean,F,19,Pre-pharmacy,3,3,3.163002001,B5209,3,4,3.459069779
A5211,Korean,M,21,Interpersonal Communication/French,4,4,3.629315701,B5211,4,4,3.960621039
A5213,Spanish,F,29,Political Science,3,3,3.895163232,B5213,2,3,3.180677376
A5214,Spanish,M,34,Agricultural Economics,5,4,4.042325847,B5214,3,2,3.632877817
A5215,Chinese,F,32,Chinese Literature,4,4,3.502602824,B5215,4,4,3.896856912
A5216,Italian,M,34,Comparative Literature,5,5,4.020420031,B5216,5,5,4.174138376
A5217,Chinese,F,20,Food Science,4,3,3.419525835,B5217,4,4,3.477796611
A5218,Chinese,F,24,Hospitality and Tourism Management,3,3,2.809202762,B5218,3,4,3.027679948
A5219,Chinese,F,24,Hospitality and Tourism Management,3,3,3.014345921,B5219,2,3,2.801045932
A5220,Chinese,M,21,Biological and Food Process Engineering,4,3,3.849630566,B5220,5,4,4.232801796
A5221,Spanish,M,38,Applied Linguistics,4,3,2.823022026,B5221,4,4,3.67896932
A5222,Thai,F,32,EAS (earth & atmospheric science),2,3,3.081582123,B5222,3,3,3.143566869
A5223,Chinese,F,31,Computer Science,3,3,3.096373272,B5223,2,3,3.039554967
A5224,Chinese,M,26,Special education,4,3,2.764861865,B5224,3,4,2.057796421
A5225,Korean,F,19,Chemistry,3,2,1.855845972,B5225,3,3,2.504970856
A5226,Chinese,M,26,Atmospheric science,4,3,2.682394403,B5226,4,3,3.100483884
A5227,Korean,M,19,Electrical Engineering,4,4,3.968265381,B5227,4,3,4.006849505
A5228,Korean,F,27,Special education,3,3,2.916784904,B5228,2,3,2.909517825
A5229,Russian,F,31,English TCS,4,5,3.170155053,B5229,3,4,3.366474527
A5230,Korean,F,21,Electrical Engineering,2,2,1.254257478,B5230,3,3,3.347173466
A5231,Chinese,M,20,Animal science,3,3,3.044032682,B5231,4,4,4.124556193
A5232,Chinese,M,20,Management,3,3,2.763284713,B5232,2,2,1.760520668
A5233,Malay,M,19,Mathematics,3,3,3.116879991,B5233,4,4,3.937981968
A5234,Chinese,M,25,Physics,3,2,1.621065681,B5234,3,3,2.041394567
A5235,Swedish,M,20,Management,5,5,4.448374362,B5235,5,5,3.898316579
A5236,Chinese,M,19,Management,3,3,3.085884005,B5236,4,4,3.48677998
A5237,Chinese,M,18,Engineering,3,3,3.781517712,B5237,4,3,3.993952278
A5238,Chinese,M,19,Economics,5,3,3.857825309,B5238,4,3,3.4885155
A5239,Chinese,F,27,Industrial & physical pharmacy,4,4,3.538301763,B5239,3,3,3.73319021
A5240,Telugu,M,27,Agricultural Economics,3,3,2.656762117,B5240,3,3,2.320304792
A5241,French,M,19,Industrial Engineering,3,3,2.509223326,B5241,3,2,2.677750963
A5243,Telugu,M,22,Food Science,5,4,3.807744801,B5243,5,4,3.98223607
A5244,Kannada,F,25,Industrial Engineering,4,4,3.481011098,B5244,3,5,3.508114169
A5245,Chinese,F,26,Physics,2,2,2.672365691,B5245,2,1,0.5001
A5247,Marathi,F,23,Food Science,4,5,2.687360699,B5247,4,5,4.617048829
A5248,Chinese,M,27,Civil Engineering,3,4,3.168544134,B5248,4,3,3.558759252
A5249,Chinese,M,32,Consumer sciences & retailing,4,4,3.961854141,B5249,3,3,4.0220626
A5250,Chinese,F,28,Organic chemistry,3,4,3.181702625,B5250,3,3,3.156453519
A6251,Chinese,M,28,Mechanical Engineering,3,4,2.735446206,B6251,3,3,3.2504458
A6252,Chinese,F,25,Biomedical Physics,4,3,3.49121196,B6252,4,4,3.396832047
A6253,Chinese,M,19,Biology,4,4,3.56608777,B6253,4,2,3.859200685
A6254,Chinese,F,22,Mathematics,3,2,4.532354357,B6254,3,3,4.181487122
A6255,Chinese,M,28,Electrical Engineering,3,4,2.727642725,B6255,3,2,2.255865188
A6256,Korean,M,29,Electrical Engineering,4,4,4.485656603,B6256,4,3,3.770684229
A6258,Japanese,F,25,Epidemiology,3,3,1.858787151,B6258,3,4,3.61491843
A6259,Japanese,F,22,Anthropology,3,3,3.041256074,B6259,4,2,3.0520127
A6260,Japanese,F,21,Global studies,3,3,3.648104565,B6260,4,2,3.222896598
A6262,Korean,F,21,Political Science,4,4,3.774360783,B6262,4,4,4.068499134
A6263,Portuguese,F,32,Geography,4,4,3.651001899,B6263,5,5,3.781763673
A6264,Chinese,M,31,Electrical Engineering,4,3,3.162692691,B6264,4,3,3.315670203
A6265,Korean,F,21,Economics,4,3,3.431770133,B6265,3,4,4.133949079
A6266,Japanese,F,25,Mathematics,3,4,3.195445561,B6266,3,3,2.830971695
A6267,Chinese,M,26,Electrical Engineering,3,3,2.773531216,B6267,3,3,3.485655367
A7301,Oromo,F,25,Undecided,2,2,1.523382504,B7301,2,3,2.322633884
A7302,Arabic,F,20,Chemical Engineering,2,2,1.604487614,B7302,2,3,2.223969239
A7303,Korean,F,28,Public Health,3,3,3.420288229,B7303,3,3,4.011272752
A7304,Chinese,F,18,Mechanical Engineering,3,3,2.714856547,B7304,3,3,2.455516629
A7305,Norwegian,M,21,Aerospace,4,5,4.456060657,B7305,3,4,3.426570244
A7306,Spanish,F,19,Biology,3,3,2.420262176,B7306,4,4,3.224873146
A7307,French,M,25,Communication,3,2,3.210859148,B7307,2,4,3.057845508
A7308,Chinese,M,19,Undecided,3,2,3.235757407,B7308,3,2,2.698170913
A7309,Japanese,F,21,Teaching English Language and Culture,3,3,2.352732008,B7309,3,3,2.438433408
A7310,Japanese,F,22,TESOL,3,3,2.386075071,B7310,3,3,3.363189411
A7311,French,M,21,Business,3,4,3.921878438,B7311,5,4,4.172578602
A7312,Chinese,F,19,Biomedical Engineering,4,3,3.433002633,B7312,4,4,3.711647687
A7313,Bariba,M,33,Community Development,3,3,2.998247597,B7313,3,3,2.58275392
A7314,Hmong,M,23,Political Science,4,3,3.610587659,B7314,4,3,3.499630719
A7315,Chinese,F,20,Mechanical Engineering,3,3,3.171275833,B7315,3,2,2.718175227
A7316,French,M,20,Business,4,5,3.979168183,B7316,4,3,3.924691764
A7317,Chinese,M,24,Electrical Engineering,3,3,2.506606399,B7317,3,4,3.471007443
A8351,Chinese,F,19,Business management,3,3,2.358099048,B8351,2,3,3.043307857
A8352,French,F,23,International business,3,4,3.770270908,B8352,4,4,3.301624624
A8353,Taiwanese,F,22,Marketing,2,2,0.556882799,B8353,1,2,0.5001
A8354,Korean,M,26,Business management,1,1,1.076546537,B8354,2,1,0.703543319
A8355,Spanish Cantonese,M,18,Finance/ hotel management,4,3,2.923062722,B8355,3,2,2.235042682
A8356,Chinese,F,19,Accounting,4,3,3.732475273,B8356,2,2,1.539291596
A8357,Chinese,F,23,Marketing,2,2,1.080728994,B8357,1,2,0.612911594
A8358,Turkish,F,21,International marketing,3,3,2.110235166,B8358,2,2,1.15779431
A8359,Hindi,M,18,Business management,4,3,2.329058776,B8359,3,3,2.539871361
A8360,French,F,18,Art history,3,3,3.33808408,B8360,4,4,3.711741247
A8361,Korean,F,22,Undecided,3,3,1.913516575,B8361,2,3,2.14582484
A8362,Chinese,M,23,Computer Science,2,2,1.48509281,B8362,2,3,2.437712736
A8363,Chinese,F,20,Finance,2,2,2.58387758,B8363,3,3,2.843810859
A8365,Vietnamese,F,23,Business,2,4,2.471731027,B8365,3,3,2.719329157
A8366,Chinese,F,18,Business management,4,4,3.490169817,B8366,4,3,3.344190799
A8367,Chinese,M,27,Finance,2,2,2.957455887,B8367,3,3,2.564901078
A8369,Creole French,M,22,Biology,4,4,3.661921591,B8369,3,2,2.965037743
A8370,Albanian,F,23,Accounting,3,4,3.408941346,B8370,3,2,2.910730481
A8371,Gujarati,F,22,MBA finance,3,3,3.006676504,B8371,3,2,2.942222447
A8372,Chinese,M,25,Finance,2,2,1.349748441,B8372,1,2,1.517781949
A8373,Chinese,F,29,MBA international business,4,3,2.54431146,B8373,4,3,3.042877741
A8374,Japanese,F,33,MBA,3,3,4.327646961,B8374,4,4,4.175888967
A8375,Chinese,M,28,MBA finance,3,3,2.912497413,B8375,3,3,2.834325827
A8376,Chinese,M,27,Marketing,3,2,2.20462656,B8376,2,2,2.216017004
A8377,Thai,M,23,MBA,3,2,3.023509483,B8377,4,4,2.593663053
A8378,Turkish,M,23,MBA finance,3,3,2.695809715,B8378,3,3,2.577016875
A8379,Spanish,F,23,English language,5,4,4.188867788,B8379,4,2,3.031469933
A8380,Chinese,F,23,MBA in marketing management,3,3,2.797321696,B8380,3,2,2.58450711
A8381,French Wolof,F,22,Financial management,5,4,3.538229462,B8381,5,5,4.306659563
A8382,French,F,23,Financial management,3,3,3.385702375,B8382,5,5,3.809865927
A8383,Chinese,M,25,MBA marketing,3,3,3.615468851,B8383,3,3,3.809402491
A8384,Chinese,F,21,English language,2,2,1.910726289,B8384,2,2,1.253333822
A8385,Japanese,F,26,English language,3,3,3.354778952,B8385,2,3,2.60976151
A8386,Japanese,M,38,English language,3,2,2.161629043,B8386,3,3,2.18148545
A8387,Japanese,M,35,English language,2,2,1.137534592,B8387,2,2,0.855644682
A8388,Chinese,F,24,Political Science,2,2,1.707688156,B8388,2,2,2.039839742
A8389,Chinese,F,24,English language,2,3,2.982077537,B8389,1,2,1.617793269
A8391,Chinese,M,22,English language,3,3,2.611770196,B8391,3,2,2.367970784
A8392,Chinese,M,24,English language,2,2,2.166033691,B8392,2,2,1.996033233
A8393,Chinese,M,27,English language,4,4,3.777153822,B8393,4,2,4.037914485
A8394,Chinese,F,26,English language,2,2,2.126129717,B8394,2,2,2.459674878
A8395,Bulgarian,F,25,English language,4,4,4.335811952,B8395,3,4,3.774025868
A8397,Chinese,F,25,English language,3,3,1.75699802,B8397,2,2,1.278963269
A8398,Japanese,F,31,English language,3,3,2.931859024,B8398,3,3,3.181461562
A8400,Korean,M,28,Jazz piano (music),2,3,2.801715785,B8400,2,2,2.825002193
A9111,Chinese,M,22,Linguistics,4,4,4.764603325,B9111,4,4,4.369901137
A9112,Chinese,F,33,TESOL,4,4,3.393680131,B9112,2,3,1.954811289
A9113,Chinese,F,31,Second Language Studies,3,3,3.936867488,B9113,4,5,4.461139725
A9114,Chinese,M,22,Hospitality Business,4,3,3.887266009,B9114,4,3,4.253339778
A9115,Korean,M,35,Second Language Studies,2,3,2.698552954,B9115,3,3,2.486950209
A9116,Chinese,M,34,Second Language Studies,4,5,4.91915597,B9116,5,4,4.360993309
A9117,Cantonese,F,21,Marketing,3,3,3.433402557,B9117,3,3,3.02057525
A9118,Italian,M,37,Marketing,3,4,2.372422377,B9118,4,4,3.989072572
A9119,Russian,F,23,Finance,4,3,2.945023157,B9119,4,4,3.906282928
A9120,Japanese,F,24,Linguistics,3,3,3.37919974,B9120,2,4,3.616967484
A9121,Korean,M,29,Kinesiology,3,4,3.003462894,B9121,3,4,3.571092318
A9122,Korean,M,25,Criminal Justice,3,2,1.606609969,B9122,2,2,2.165482728
A9124,Japanese,M,24,Advertising,3,4,3.161801706,B9124,2,2,2.133701903
A9125,Japanese,F,25,Second Language Studies,5,5,3.757929428,B9125,5,4,3.759522406
A9126,Korean,F,33,Second Language Studies,5,5,3.657426124,B9126,4,5,4.20958201
A9127,Korean,M,23,Economics,3,4,2.321703203,B9127,3,3,2.789941358
A9128,Korean,F,21,Economics,3,4,3.488746917,B9128,2,3,3.04195759
A9129,Korean,F,21,Hospitality Business,3,3,2.099472922,B9129,3,3,2.826776328
A9131,Japanese,F,22,,3,3,2.195937025,B9131,3,2,2.698406353
A9133,Turkish,M,25,Second Language Studies,3,5,4.537629186,B9133,5,4,4.311735019
A9134,Korean,F,30,TESOL,3,3,3.925199409,B9134,4,3,3.612459716
A9135,Russian,F,22,Psychology,5,5,4.255028125,B9135,4,4,3.995109276
A9136,Vietnamese,F,18,East Asian Languages and Culture,5,5,4.761896477,B9136,4,5,5.080503259
A9137,Vietnamese,F,24,Higher Adult and Lifelong Education (HALE) Program,3,3,3.856183298,B9137,3,5,3.558872405
A9138,Uzbek/Russian,F,20,International Relations,3,3,3.614056125,B9138,5,5,3.592877615
A9139,German,F,25,Second Language Studies,5,5,4.032330784,B9139,4,5,4.217667084
A9140,Korean,F,41,TESOL,3,5,3.80477082,B9140,5,3,3.864506352
A9141,Chinese,F,27,TESOL,4,5,4.111561478,B9141,3,4,3.153853772
A9142,Korean,F,27,TESOL,4,4,3.858275937,B9142,4,5,4.229134493
A9143,Uzbek,F,20,Physiology,3,4,3.996752222,B9143,4,3,3.850197979
A9144,Russian,M,20,Political Science,4,4,4.416441634,B9144,4,4,3.532268594
A9145,Portuguese,M,32,Forestry,4,3,3.177859497,B9145,2,3,2.620866397
A9146,Ukrainian,M,24,Economics,3,4,4.222514343,B9146,5,3,4.457641674
A9147,Turkish,F,22,Political Science,3,4,3.850881719,B9147,4,3,3.617621175
A9149,Turkish,M,29,Mathematics,5,5,4.05312441,B9149,5,4,4.523511039
A9150,Russian,F,19,Psychology,3,3,3.49023364,B9150,3,2,2.375625321
A9295,Twi,F,29,Crop & Soil science,4,5,4.118069887,B9295,5,5,4.282286434
A9297,Chinese,M,25,Mathematics,3,3,3.588599207,B9297,4,4,3.943641805
A9298,Korean,F,27,Music,3,3,2.775527346,B9298,3,2,2.613391385
A9299,Cantonese,F,28,Music,3,3,3.323977356,B9299,3,4,3.777641878
A9318,Chinese,F,21,Music therapy & psychology,3,4,3.572903422,B9318,5,5,3.568158445
A9320,Chinese,M,28,Curriculum & Teaching,3,3,3.914659497,B9320,4,3,4.012422512
A9321,Chinese,F,28,Curriculum & Teaching,4,3,3.484581591,B9321,5,4,3.892939785
A9322,Chinese,F,28,Curriculum & Teaching,3,3,3.144674639,B9322,4,2,2.704467132
A9323,Chinese,F,32,Retailing,3,3,2.721640671,B9323,2,2,1.509727664
A9324,Cantonese,F,21,Marketing,3,3,3.588148627,B9324,2,4,3.204450564
A9325,Chinese,F,20,Marketing,3,3,3.27616454,B9325,3,3,3.414751236
A9326,Kazakh,F,19,Applied Engineering Sciences,4,3,3.470358236,B9326,4,4,3.421071426
A9327,Chinese,F,23,Public Relations,4,3,3.862904685,B9327,4,3,3.666830094
A9328,Chinese,F,26,TESOL,2,4,4.618010418,B9328,5,4,4.067206874
A9329,Chinese,F,27,TESOL,4,4,3.910756397,B9329,4,5,3.614284596
A9330,Chinese,F,30,TESOL,3,4,2.811167974,B9330,3,4,3.348070952
A9331,Chinese,F,24,TESOL,3,2,3.513389817,B9331,4,3,3.787315557
A9332,Japanese,F,30,Second Language Studies,4,3,4.229438977,B9332,4,3,3.442484992
A9333,Chinese,F,23,Communication,4,3,4.762216848,B9333,4,3,4.944743204
A9334,Chinese,M,28,TESOL,3,3,2.959499734,B9334,4,3,3.125399624
A9335,Indonesian,M,29,Computer Science Engineering,4,4,4.136595701,B9335,5,5,4.150931358
A9336,Arabic,F,26,Advertising,5,5,5.238941444,B9336,5,5,4.229624921
A9337,Arabic,F,24,TESOL,4,3,3.695781696,B9337,4,4,3.324751404
A9338,Chinese,F,24,Public Relations,4,3,3.737460283,B9338,5,3,4.744445978
A9339,Chinese,F,33,Statistics,3,3,2.567255133,B9339,3,4,3.029540304
A9340,Marathi,F,25,Advertising,5,5,4.597830448,B9340,5,5,4.421590129
